state,year,race3,proportion
GA,1938,black,0.0072608012923612
HI,1938,black,2.60765596166097e-05
IA,1938,black,0.00011209975627845
ID,1938,black,1.39599933328499e-05
IL,1938,black,0.00308404790736944
IN,1938,black,0.000888142586192495
KS,1938,black,0.00051583758929318
KY,1938,black,0.00156002801141078
LA,1938,black,0.00585024422699548
MA,1938,black,0.000454865583953542
MD,1938,black,0.00207089128675535
ME,1938,black,6.68409839810841e-06
MI,1938,black,0.00158671624701144
MN,1938,black,8.73879875384368e-05
MO,1938,black,0.00180838280049528
MS,1938,black,0.00709155589345355
MT,1938,black,1.74647555021005e-05
NC,1938,black,0.00608942406425964
ND,1938,black,5.31577759455367e-06
NE,1938,black,9.49111619768096e-05
NH,1938,black,5.26378225931111e-06
NJ,1938,black,0.0017695077595536
NM,1938,black,3.93993146488877e-05
NV,1938,black,2.76238172975509e-06
NY,1938,black,0.00445938346866145
OH,1938,black,0.00262407590702361
OK,1938,black,0.00119652035148901
OR,1938,black,3.34629686928706e-05
PA,1938,black,0.0037591062728964
RI,1938,black,7.76345522613548e-05
SC,1938,black,0.00517250285150552
SD,1938,black,1.81221687570608e-06
TN,1938,black,0.00344941123870515
TX,1938,black,0.0065045087820023
UT,1938,black,7.97305202486334e-06
VA,1938,black,0.00451275567577489
VT,1938,black,1.16913209964404e-06
WA,1938,black,4.51089108781871e-05
WI,1938,black,9.07140131663277e-05
WV,1938,black,0.000821061244775653
WY,1938,black,5.61920544875733e-06
AK,1939,black,2.35473964877308e-05
AL,1939,black,0.00651366361231837
AR,1939,black,0.00327326847421494
AZ,1939,black,0.000134548414511972
CA,1939,black,0.00107297772012367
CO,1939,black,8.23137603348831e-05
CT,1939,black,0.00027042236479884
DC,1939,black,0.00153640306743837
DE,1939,black,0.000250280020595704
FL,1939,black,0.00370577564505745
GA,1939,black,0.00725646066769385
HI,1939,black,2.63592946873866e-05
IA,1939,black,0.000112255475633874
ID,1939,black,1.40192108432367e-05
IL,1939,black,0.00308102226402407
IN,1939,black,0.000886336539757533
KS,1939,black,0.000515366174618992
KY,1939,black,0.00155453568126615
LA,1939,black,0.00584603152742085
MA,1939,black,0.000453888554059468
MD,1939,black,0.00209396758940055
ME,1939,black,6.67964470793197e-06
MI,1939,black,0.00158261302785821
MN,1939,black,8.72690342103238e-05
MO,1939,black,0.00180676305521752
MS,1939,black,0.00708843007883898
MT,1939,black,1.75398868756923e-05
NC,1939,black,0.00608590632725809
ND,1939,black,5.299173450251e-06
NE,1939,black,9.50201288202216e-05
NH,1939,black,5.29265922971784e-06
NJ,1939,black,0.00176824620298
NM,1939,black,3.95345875476155e-05
NV,1939,black,2.72924662973603e-06
NY,1939,black,0.00446205042626978
OH,1939,black,0.00262014944010495
OK,1939,black,0.00119526450176013
OR,1939,black,3.32910763177592e-05
PA,1939,black,0.00375736770980219
RI,1939,black,7.75460733147347e-05
SC,1939,black,0.00517039257212854
SD,1939,black,1.83447411179476e-06
TN,1939,black,0.00344287404448708
TX,1939,black,0.00650047108698172
UT,1939,black,7.96479338732134e-06
VA,1939,black,0.00451163435892905
VT,1939,black,1.17513842786095e-06
WA,1939,black,4.47485649106268e-05
WI,1939,black,9.06982945006626e-05
WV,1939,black,0.000820049718554606
WY,1939,black,5.61937519934556e-06
AK,1940,black,2.42309324067203e-05
AL,1940,black,0.00650871151981308
AR,1940,black,0.00326860044078957
AZ,1940,black,0.000133960471800818
CA,1940,black,0.00106886272254968
CO,1940,black,8.21374869431446e-05
CT,1940,black,0.000269688113883857
DC,1940,black,0.00153640306743837
DE,1940,black,0.000250216622482178
FL,1940,black,0.0037038583456825
GA,1940,black,0.00725226239028892
HI,1940,black,2.66420297581635e-05
IA,1940,black,0.000112409544795392
ID,1940,black,1.40773114168635e-05
IL,1940,black,0.00307797364141185
IN,1940,black,0.000884526054368883
KS,1940,black,0.000514893033853171
KY,1940,black,0.00154894704479565
LA,1940,black,0.00584168673001127
MA,1940,black,0.000452912358247141
MD,1940,black,0.0021142262768915
ME,1940,black,6.67510855144984e-06
MI,1940,black,0.00157847427617798
MN,1940,black,8.71488513872027e-05
MO,1940,black,0.00180512908587571
MS,1940,black,0.00708533846291063
MT,1940,black,1.76141747663349e-05
NC,1940,black,0.00608235764677939
ND,1940,black,5.28291850046394e-06
NE,1940,black,9.51271669950382e-05
NH,1940,black,5.32066407162957e-06
NJ,1940,black,0.00176692910710961
NM,1940,black,3.96670935503999e-05
NV,1940,black,2.69713504106722e-06
NY,1940,black,0.00446475708175936
OH,1940,black,0.0026161857654149
OK,1940,black,0.00119399539844626
OR,1940,black,3.31164035487075e-05
PA,1940,black,0.00375558184186562
RI,1940,black,7.74567467524047e-05
SC,1940,black,0.00516827535462178
SD,1940,black,1.85618140897786e-06
TN,1940,black,0.0034362566683823
TX,1940,black,0.00649643647867685
UT,1940,black,7.95645278719244e-06
VA,1940,black,0.00451046726270659
VT,1940,black,1.18116127005602e-06
WA,1940,black,4.43884854035512e-05
WI,1940,black,9.06825334434235e-05
WV,1940,black,0.000819041051413887
WY,1940,black,5.61968885883837e-06
AK,1941,black,2.75380268697649e-05
AL,1941,black,0.00632433044992376
AR,1941,black,0.00317444591442795
AZ,1941,black,0.000135636007418357
CA,1941,black,0.00129587631035611
CO,1941,black,8.98257340336771e-05
CT,1941,black,0.000274127344670928
DC,1941,black,0.00158787176145934
DE,1941,black,0.00025351657129775
FL,1941,black,0.00371822684689402
GA,1941,black,0.00704790642637948
HI,1941,black,3.03029489755283e-05
IA,1941,black,0.000113783840569202
ID,1941,black,1.28199850557343e-05
IL,1941,black,0.00326010002761514
IN,1941,black,0.00090647718287152
KS,1941,black,0.000527165935828596
KY,1941,black,0.00153768053123729
LA,1941,black,0.00571623426125745
MA,1941,black,0.000470375829035408
MD,1941,black,0.0021498485287618
ME,1941,black,8.64716252586783e-06
MI,1941,black,0.00173548480531201
MN,1941,black,9.17214398291021e-05
MO,1941,black,0.0018468733933418
MS,1941,black,0.00684923781673576
MT,1941,black,1.68291844515465e-05
NC,1941,black,0.00594772085504284
ND,1941,black,4.74420580263655e-06
NE,1941,black,0.000100823585310575
NH,1941,black,4.80883777864003e-06
NJ,1941,black,0.00180525604073371
NM,1941,black,3.93606734991934e-05
NV,1941,black,2.71363927119262e-06
NY,1941,black,0.00473301456667967
OH,1941,black,0.00269503126203589
OK,1941,black,0.00118345998834087
OR,1941,black,3.67658192979556e-05
PA,1941,black,0.00382014279027674
RI,1941,black,7.85421162355351e-05
SC,1941,black,0.00497132081830026
SD,1941,black,1.70165521222256e-06
TN,1941,black,0.00339968590677626
TX,1941,black,0.00650504996077291
UT,1941,black,8.29745572265935e-06
VA,1941,black,0.00444598118742843
VT,1941,black,1.0665159698352e-06
WA,1941,black,6.4126621455326e-05
WI,1941,black,0.000100785469686854
WV,1941,black,0.000802747814190748
WY,1941,black,6.78514866366477e-06
AK,1942,black,3.0888957085148e-05
AL,1942,black,0.00613955796258327
AR,1942,black,0.00308058312100392
AZ,1942,black,0.000137307360004955
CA,1942,black,0.00152481530899227
CO,1942,black,9.76257387072111e-05
CT,1942,black,0.000278646320807653
DC,1942,black,0.00163934045548032
DE,1942,black,0.000256858697350153
FL,1942,black,0.0037324274256514
GA,1942,black,0.00684426592790867
HI,1942,black,3.40177044468086e-05
IA,1942,black,0.000115167810911959
ID,1942,black,1.15270042667723e-05
IL,1942,black,0.00344303414438383
IN,1942,black,0.000928582706703721
KS,1942,black,0.000539485778191326
KY,1942,black,0.00152620858276165
LA,1942,black,0.00559173159516634
MA,1942,black,0.000487641769536864
MD,1942,black,0.00218468119770188
ME,1942,black,1.05565213006299e-05
MI,1942,black,0.00189387779180211
MN,1942,black,9.63037843126035e-05
MO,1942,black,0.00188898895323677
MS,1942,black,0.00661352699305434
MT,1942,black,1.60165124848906e-05
NC,1942,black,0.005813181290331
ND,1942,black,4.20850868229678e-06
NE,1942,black,0.000106559260007444
NH,1942,black,4.29246421246554e-06
NJ,1942,black,0.00184373880343537
NM,1942,black,3.90015777509171e-05
NV,1942,black,2.72825970471288e-06
NY,1942,black,0.00500289893440577
OH,1942,black,0.00277421000769565
OK,1942,black,0.00117291907030687
OR,1942,black,4.04155946235276e-05
PA,1942,black,0.0038849521112697
RI,1942,black,7.9569395920863e-05
SC,1942,black,0.00477495672445509
SD,1942,black,1.5393444151505e-06
TN,1942,black,0.00336259042973925
TX,1942,black,0.00651475504906893
UT,1942,black,8.62648162587111e-06
VA,1942,black,0.004381507442393
VT,1942,black,9.50968558724503e-07
WA,1942,black,8.40555306078966e-05
WI,1942,black,0.000110946190248169
WV,1942,black,0.000786691266873271
WY,1942,black,7.94121531342383e-06
AK,1943,black,3.42837142277311e-05
AL,1943,black,0.00595438837343605
AR,1943,black,0.00298697098554823
AZ,1943,black,0.000138979245797238
CA,1943,black,0.00175572041997677
CO,1943,black,0.00010553928985498
CT,1943,black,0.000283244604388423
DC,1943,black,0.00169080914950129
DE,1943,black,0.000260240509610053
FL,1943,black,0.0037465153251914
